Category,Name,Type,Description
egg dishes,Boiled egg,Egg dishes,"This dish includes boiling long enough to be (""hard boiled"") or just long enough for the albumin (egg white) to solidify (""soft boiled""). A similar result may be achieved by steaming the eggs rather than boiling.[2]"
egg dishes,Coddled egg[3],Egg dishes,"In cooking, coddled eggs are gently or lightly cooked eggs."
egg dishes,Fried egg,Egg dishes,"Cooked in hot grease in a skillet: cooked lightly on one side only (""sunny side up""), cooked lightly on one side and turned over briefly (""over easy""), cooked on both sides so the white is solid but the yolk still soft and runny (""over medium"")[4] and thoroughly cooked on both sides with the yolk solid (""over well""), and with the yolk broken (""over hard"")."
egg dishes,Omelette,Egg dishes,"A dish made from beaten eggs quickly cooked with butter or oil, but not further stirred while cooking, in a frying pan, sometimes folded around a filling such as cheese, vegetables, meat (often ham), or some combination of the above."
egg dishes,Onsen tamago[5],Egg dishes,"""Hot-spring eggs"", traditional Japanese boiled eggs (tamago) slow-cooked in the water of hot springs (onsen)."
egg dishes,Poached egg,Egg dishes,"An egg that has been cooked by poaching, in simmering liquid. The term is also applied to a method whereby the egg is placed in a cup, suspended over simmering water, using a special pan called an ""egg-poacher""."
egg dishes,Scrambled eggs,Egg dishes,"A dish made from beaten egg whites and yolks of (usually chicken eggs). Beaten eggs are put into a hot pot or pan (usually greased) and stirred frequently, forming curds as they coagulate."
egg dishes,Basted egg,Egg dishes,Sunny-side-up eggs that are slightly cooked on the top. This can be accomplished by spooning fat from the pan onto the eggs[6] or by turning them and cooking the yolk side for a few seconds.[7]
egg dishes,Shirred eggs,Egg dishes,"Also known as baked eggs, it is a dish in which eggs have been baked in a flat-bottomed dish; the name originates from the type of dish in which it was traditionally baked. An alternative way of cooking is to crack the eggs into individual ramekins and cook them in a water bath, creating the French dish eggs."
egg dishes,Avgolemono,Egg dishes,"A family of sauces and soups made with egg and lemon juice, mixed with broth."
egg dishes,Egg Kalakki,Egg dishes,“Kalakki” in Tamil means “to mix”. It is a soft scrambled egg with a little curry added into it. Kalakki is a famous food from southern Tamil Nadu. But nowadays Kalakki has become a very sought after dish in many restaurants all over Tamilnadu.[8]
egg dishes,Baghali ghatogh,Egg dishes,"A khoresh (Persian stew) made with baghalas (Rashtian faba beans), dill, and eggs. Usually served with kateh (Persian rice dish) in the northern provinces of Iran."
egg dishes,Bai pong moan,Egg dishes,"A Cambodian dish, consisting of fried eggs and white rice"
Philippine dishes,Balut,,"A fertilized duck (or chicken) egg with a nearly developed embryo inside that is boiled, shelled, and eaten as is or dipped in salt or spicy vinegar."
egg dishes,Buttered eggs,Egg dishes,Scrambled eggs with additional butter melted and stirred into the egg mixture before cooking.[9]
African dishes,Brik,African dishes,Stuffed pastry.
egg dishes,Carbonara,Egg dishes,"An Italian pasta dish from Rome[10][11] made with egg, hard cheese, guanciale (or pancetta), and pepper."
egg dishes,Century egg[12],Egg dishes,"Originated as an ingredient or an appetizer in Chinese cuisine made by preserving duck, chicken or quail eggs in a mixture of clay, ash, salt, quicklime, and rice hulls for several weeks to several months, depending on the method of processing. Now commonly found in some East and Southeast Asian countries, especially those with Chinese heritage.[13]"
egg dishes,Iritamago [ja],Egg dishes,Japanese finely scrambled eggs with soya sauce
egg dishes,Chawanmushi,Egg dishes,An egg custard dish found in Japan that uses the seeds of ginkgo.[14]
egg dishes,Chinese steamed eggs,Egg dishes,"A Chinese home-style dish found all over China. Eggs are beaten to a consistency similar to that used for an omelette, water is added and the mixture steamed."
egg dishes,Çılbır,Egg dishes,"Poached eggs with yogurt, often with garlic mixed in"
egg dishes,Creamed eggs on toast,Egg dishes,A breakfast dish consisting of toast or biscuits covered in a gravy made from bechamel sauce and chopped hard-boiled eggs.
egg dishes,Croque Madame,Egg dishes,A croque-monsieur sandwich served with a fried egg or poached egg on top
egg dishes,Deviled eggs/ Jajka faszerowane [pl][15](pol),Egg dishes,"Yolks of hard-boiled eggs are mashed with cream or mayonnaise, mustard, and seasonings and then mounded or piped into the white of the boiled egg. Served cold, often al fresco."
egg dishes,Eggah,Egg dishes,"Eggs binding a filling of vegetables and meat, sometimes with Arabic spices"
egg dishes,Egg bhurji,Egg dishes,"Similar to scrambled eggs, mixed with fried onions and spices."
egg dishes,Egg curry,Egg dishes,"A spicy dish made with boiled eggs, tomatoes, and fried onions and normally eaten with bread or rotis."
egg dishes,Egg butter (Karjala),Egg dishes,A mixture of butter and hard boiled eggs.
egg dishes,Egg foo yung,Egg dishes,"Eggs are stirred together with vegetables such as bean sprouts and scallions, then quickly cooked in a hot skillet or deep-fried in oil, and served with gravy."
egg dishes,Egg in a basket,Egg dishes,An egg fried within a hole in a slice of bread.
egg dishes,Egg khesh,Egg dishes,
egg dishes,Egg drop soup,Egg dishes,A Chinese soup of wispy beaten eggs in boiled chicken broth
egg dishes,Eggs a la Meyerbeer,Egg dishes,Egg with grilled lamb's kidney and Périgueux sauce
egg dishes,Egg salad,Egg dishes,"Egg salad is often used as a sandwich filling, typically made of chopped hard-boiled eggs, mayonnaise, mustard, minced celery, onion, salt, pepper, and paprika. It is also often used as a topping on green salads. It's also sometimes referred to as egg mayonnaise."
